BGP table version is 16188164, local router ID is 217.192.89.52
Status codes: s suppressed, d damped, h history, * valid, > best, i - internal, 
              r RIB-failure, S Stale, m multipath, b backup-path, f RT-Filter, 
              x best-external, a additional-path, c RIB-compressed, 
Origin codes: i - IGP, e - EGP, ? - incomplete
RPKI validation codes: V valid, I invalid, N Not found

     Network          Next Hop            Metric LocPrf Weight Path
 *>  0.0.0.0/8        192.168.1.1              0    300      0 (65000 65098) i
 *   1.6.92.0/22      138.187.128.35      550000    300      0 (65000) 1273 9583 i
 *   1.6.96.0/22      138.187.128.35      550000    300      0 (65000) 6453 9583 i
 *   1.6.100.0/22     138.187.128.35      550000    300      0 (65000) 1273 9583 i
 *   1.6.104.0/22     138.187.128.35      550000    300      0 (65000) 1273 9583 i
 *   1.6.108.0/22     138.187.128.35      550000    300      0 (65000) 6453 9583 i
 *   1.6.112.0/22     138.187.128.35      550000    300      0 (65000) 1273 9583 i
 *   1.6.116.0/22     138.187.128.35      550000    300      0 (65000) 1273 9583 i
 *   1.6.120.0/22     138.187.128.35      550000    300      0 (65000) 1273 9583 i
 *   1.6.124.0/22     138.187.128.38      550000    300      0 (65000) 2914 9583 i
 *   1.6.128.0/24     138.187.128.20      500000    300      0 (65000) 6453 4755 9583 i
 *   1.6.128.0/22     138.187.128.38      550000    300      0 (65000) 2914 9583 i
 *   1.6.132.0/23     138.187.128.38      550000    300      0 (65000) 2914 9583 i
 *   1.6.134.0/23     138.187.128.38      550000    300      0 (65000) 2914 9583 i
 *   1.6.136.0/24     138.187.128.20      550000    300      0 (65000) 9498 132215 ?
 *   1.6.136.0/22     138.187.128.38      550000    300      0 (65000) 2914 9583 i
 *   1.6.140.0/22     138.187.128.38      550000    300      0 (65000) 2914 9583 i
 *   1.6.144.0/22     138.187.128.38      550000    300      0 (65000) 2914 9583 i
 *   1.6.148.0/22     138.187.128.38      550000    300      0 (65000) 2914 9583 i
 *   1.6.152.0/22     138.187.128.38      550000    300      0 (65000) 2914 9583 i
 *   1.6.156.0/22     138.187.128.38      550000    300      0 (65000) 2914 9583 i
 *   1.6.160.0/22     138.187.128.38      550000    300      0 (65000) 2914 9583 i
 *   1.6.161.0/24     138.187.128.20      500000    300      0 (65000) 6453 9583 i
 *   1.6.164.0/22     138.187.128.38      550000    300      0 (65000) 2914 9583 i
 *   1.6.168.0/22     138.187.128.38      550000    300      0 (65000) 2914 9583 i
 *   1.6.172.0/22     138.187.128.38      550000    300      0 (65000) 2914 9583 i
 *   1.6.176.0/22     138.187.128.38      550000    300      0 (65000) 2914 9583 i

